,subject,pu0,pu1
0,1qs0vvu9krr584a,0.7333333333333333,0.55
1,1tq0jt4dd31u8lq,0.7666666666666667,0.55
2,22260uys7arz8j6,0.8333333333333334,0.6166666666666667
3,2bqu5ktkg43fh3p,0.7,0.5333333333333333
4,2mzs709cn5dlwj2,0.8666666666666667,0.6333333333333333
5,2nzfnkk2uulwmkz,0.8166666666666667,0.5333333333333333
6,2onuokgmd4mb91n,0.7666666666666667,0.5
7,2qu63bjtm9kxnnb,0.7833333333333333,0.5666666666666667
8,2usnf1r3h88bett,0.8,0.6166666666666667
9,34aswcgc3uv5ln0,0.7166666666666667,0.5
10,35q8u5ekgfaq26g,0.8,0.5666666666666667
11,3cb7v9rogoxz69h,0.6833333333333333,0.43333333333333335
12,3jrram86yd3uhgb,0.8666666666666667,0.6166666666666667
13,3t9q259awsqqnjn,0.8333333333333334,0.6
14,3v8e1byv3sv0alm,0.7333333333333333,0.5166666666666667
15,4724s9yvowlqe3o,0.7,0.55
16,4g3g9s2nj7eh7g9,0.8166666666666667,0.6166666666666667
17,4gsluu13t1fssat,0.7,0.4666666666666667
18,4ns4fa2xqw95lgx,0.7833333333333333,0.5666666666666667
19,4tcxev3874jk89a,0.8333333333333334,0.6
20,4vh1jqvk9uns533,0.6666666666666666,0.35
21,51jqmweysl4t2kf,0.6333333333333333,0.5333333333333333
22,57znvber9kc1tnj,0.7166666666666667,0.55
23,5cp1qjka53bl73q,0.7333333333333333,0.55
24,5jwar0bvwr53h40,0.8909090909090909,0.6333333333333333
25,5o4n9abwu4u5bb5,0.8333333333333334,0.65
26,5odjbv4o99zlp3l,0.6666666666666666,0.4666666666666667
27,5pgqs0v0feqyejp,0.75,0.5666666666666667
28,5ryl841c85p9gqt,0.8,0.7333333333333333
29,5wfba9dut71p4ow,0.7166666666666667,0.5666666666666667
30,6be4c2orpqft8ul,0.7833333333333333,0.5333333333333333
31,6q9betgq5hv5wl1,0.1,0.11666666666666667
32,6wyn194o3vd7jmv,0.8333333333333334,0.6333333333333333
33,70kcrqfjf2xhh4m,0.8,0.5333333333333333
34,7bwng7h1w9q6djl,0.7666666666666667,0.55
35,7pjw0pz87exlgmd,0.8,0.5833333333333334
36,85aq8xl8ayntz3l,0.7833333333333333,0.55
37,86ytkcswjfzgjs2,0.7666666666666667,0.55
38,8epzoljwn0gbtge,0.7333333333333333,0.55
39,8es63ovt8uw2mgg,0.7666666666666667,0.5666666666666667
40,8k0vz5fk6ovdk22,0.6333333333333333,0.4166666666666667
41,8le0rzndxgpur8r,0.7666666666666667,0.65
42,8w9zpgv2wd00ryf,0.7333333333333333,0.5333333333333333
43,96deaxjjts0yvax,0.9166666666666666,0.6666666666666666
44,9h1m4d4lp6ksfjt,0.7833333333333333,0.5166666666666667
45,9ho9tv1b4jdy3p6,0.8166666666666667,0.5833333333333334
46,9jfa3uck1pm1a27,0.8166666666666667,0.55
47,9oe8onshjdy2khe,0.9454545454545454,0.7333333333333333
48,9p57f5mpldrqae2,0.85,0.5833333333333334
49,9t78ys8n6y4lq87,0.7666666666666667,0.48333333333333334
50,a39zpu2zr3xl47k,0.8166666666666667,0.5833333333333334
51,ajztaxb5eyxtfch,0.7833333333333333,0.6166666666666667
52,as5hvtlqa9ouc2z,0.7833333333333333,0.6166666666666667
53,au7m9jjmgy8d4gj,0.8,0.5833333333333334
54,b3jqszmpuje1kzj,0.7833333333333333,0.6166666666666667
55,b7kqqf6910mdvu2,0.7,0.6
56,bbdg9exvj0r7yce,0.16666666666666666,0.1
57,bcddjqq3azlp1go,0.26666666666666666,0.25
58,bdov3ye1qvundbp,0.8166666666666667,0.5833333333333334
59,brsvshywlogvxcq,0.7894736842105263,0.8
60,bwapvlhj02uk8b6,0.6333333333333333,0.45
61,bx1xq7e3jhb986v,0.7833333333333333,0.6166666666666667
62,by055azszvfnglr,0.7333333333333333,0.5666666666666667
63,c2se350v0tr4hzv,0.8,0.6166666666666667
64,cavjhtxfs1z091j,0.7333333333333333,0.5833333333333334
65,cl4vc26ycu0woo2,0.8166666666666667,0.6
66,cvwjerg09d5sfu9,0.7166666666666667,0.5333333333333333
67,dho9tnp5jdyv2kn,0.75,0.55
68,djb1vpwld9c7hmk,0.85,0.5833333333333334
69,ds2ot3x1v6q63xg,0.85,0.6333333333333333
70,dtua0nm03dd9yb7,0.7833333333333333,0.5333333333333333
71,duzv7z4jux5olpv,0.8545454545454545,0.7
72,dvywvnh6comawyk,0.8333333333333334,0.6666666666666666
73,dybr695ge3z1q36,0.7833333333333333,0.55
74,e3u4ad1k1wpdvk5,0.8333333333333334,0.5166666666666667
75,eozoqygyyr2hh89,0.8,0.8
76,eq2yquj9uq7mrmv,0.6833333333333333,0.5166666666666667
77,f9cj53d6095k7y9,0.7333333333333333,0.5166666666666667
78,fdjpgjo5vx0cbx6,0.48333333333333334,0.36666666666666664
79,fdpbfyfot5pm4dq,0.8666666666666667,0.8666666666666667
80,fehlcunq37bd57x,0.75,0.5666666666666667
81,fgst37yzsa6bnqq,0.6833333333333333,0.5
82,fq39wkqs1solhdu,0.75,0.5666666666666667
83,fqnkabfbs65dy5r,0.7833333333333333,0.5833333333333334
84,fwexbmobod79xhj,0.7666666666666667,0.5333333333333333
85,g35rvb9r3l07tgx,0.85,0.6666666666666666
86,gff1bttra8jfwuc,0.6666666666666666,0.5333333333333333
87,gg80fe1zyat447z,0.7833333333333333,0.55
88,ggkxy092ul5l6n0,0.85,0.6166666666666667
89,gh7mbx9jy45flun,0.6833333333333333,0.5166666666666667
90,ghbypuj01msjo4h,0.8333333333333334,0.6166666666666667
91,gnd1v5zo5x7qjad,0.8833333333333333,0.6
92,gs1p8zvs22f3u03,0.8166666666666667,0.55
93,gstz99vr89krpfz,0.85,0.6
94,gwnfptskt21pe76,0.7,0.4666666666666667
95,h9du65sl07e0gv9,0.7666666666666667,0.5833333333333334
96,hd4d44n06f6cawh,0.8333333333333334,0.6
97,hd9k76vgdu5mql0,0.7666666666666667,0.55
98,hfmlbam5f685ond,0.7,0.55
99,hjgqzm1pq2mo1u7,0.8,0.6166666666666667
100,hkdemly7qs0y8be,0.7666666666666667,0.5333333333333333
101,hm4cdxlz8t0281v,0.7666666666666667,0.5833333333333334
102,hmfoy1dyl3p0oyx,0.7666666666666667,0.5166666666666667
103,hvawyrkxreuq7d8,0.8,0.5833333333333334
104,jdewbyn3agn01fj,0.8333333333333334,0.6333333333333333
105,je7gumyhw5zyax5,0.75,0.55
106,jk1c41xga9cmsrf,0.7833333333333333,0.6166666666666667
107,jvcerddevc3rwm0,0.7833333333333333,0.6
108,k139uwro4j195db,0.7,0.5666666666666667
109,k29f0wx5w553tt9,0.8333333333333334,0.5833333333333334
110,k3j8o90rkvw7tal,0.8166666666666667,0.55
111,k3jjjvn3p0r8g0s,0.8363636363636363,0.7
112,k7xa918wsdj832n,0.85,0.6333333333333333
113,ktwcurcgfv59jnc,0.75,0.6
114,kug2nygmmndpth5,0.7833333333333333,0.6
115,l7kobq2fs7s15go,0.8166666666666667,0.6166666666666667
116,l9furacymudby8a,0.7166666666666667,0.5
117,le6z045m543xskj,0.8166666666666667,0.55
118,lf6xl0237z2uput,0.6666666666666666,0.5
119,lg6tvm6f6ptszm8,0.6666666666666666,0.4666666666666667
120,lnhuzvcq72odm0l,0.9333333333333333,0.7
121,lpx70ofk5201oup,0.7833333333333333,0.9333333333333333
122,lq01y2l4zvsfb6u,0.7833333333333333,0.5833333333333334
123,lqk83qqxe3xs6ss,0.8333333333333334,0.55
124,lucnd0k3f5h8ez4,0.9090909090909091,0.75
125,lxjy6ftfv1j6uw2,0.8833333333333333,0.8166666666666667
126,m72afjrfmn9ycnm,0.8333333333333334,0.5333333333333333
127,m8fuvpkggx3r7sw,0.7666666666666667,0.5833333333333334
128,mdtwfshb8x8v70p,0.8166666666666667,0.6
129,mghqo7uxufw84xb,0.7166666666666667,0.55
130,mmjryby874fs60o,0.7833333333333333,0.6
131,n56opcxqwcyuk97,0.7833333333333333,0.5166666666666667
132,np2r7s44c0nxgg5,0.9166666666666666,0.6666666666666666
133,nrv57g0kvh6lz31,0.7833333333333333,0.5833333333333334
134,nshroqsku7cv436,0.8833333333333333,0.8333333333333334
135,nvk3jd25saegh24,0.7833333333333333,0.6166666666666667
136,ocssdtxqjomtsth,0.8166666666666667,0.5166666666666667
137,oemn8dnelyez9dr,0.7833333333333333,0.55
138,oeu4jokoabrwtua,0.8,0.6
139,ouqywsdvynl19bp,0.7166666666666667,0.5333333333333333
140,owmmv6k6ej5qh0r,0.75,0.5666666666666667
141,p0ptwsbjrbx9q9b,0.7666666666666667,0.5833333333333334
142,p2a48lrzlrj6fsb,0.7166666666666667,0.5333333333333333
143,p2sp49zl9919q87,0.7,0.55
144,p2v49387cgj37sn,0.8166666666666667,0.6
145,p4bl6h83l6mxnwz,0.65,0.4
146,p6j0lgnrdnp5hqw,0.75,0.5333333333333333
147,pjp6ertnjw1vb6j,0.75,0.6
148,pojfe0tpsdoned2,0.8333333333333334,0.6
149,puae2gctgkn4ho8,0.6666666666666666,0.5
150,pv8gfb6dwc0u8md,0.8,0.6
151,q1p6hsj3a9wrr1p,0.6833333333333333,0.5833333333333334
152,q4o2n439h3o4hux,0.85,0.6166666666666667
153,q6otspomd8umpfj,0.7666666666666667,0.43333333333333335
154,qeaducsgetncgeb,0.85,0.6166666666666667
155,qreecv8wv03uqw8,0.8,0.6166666666666667
156,qul606qyfeuydwf,0.8166666666666667,0.5666666666666667
157,qw7q50m2o58ugvl,0.8,0.6
158,r018cukle69r1bf,0.7166666666666667,0.5833333333333334
159,rdupsdp465ntk6q,0.8333333333333334,0.6333333333333333
160,re53t0m5rdemzxb,0.8166666666666667,0.5666666666666667
161,regcubm60dchcxr,0.8166666666666667,0.5333333333333333
162,rf8fvjnsk6r07uc,0.7666666666666667,0.5333333333333333
163,rn0an20lmaomk57,0.8,0.5666666666666667
164,rxol1dxl6nen4em,0.7666666666666667,0.6
165,ryf84f70g5thl4l,0.75,0.6
166,s79rv87vd0ov68q,0.8,0.5666666666666667
167,s7enbyv4of56b3e,0.8333333333333334,0.6
168,sh3z56uk3q0ddzd,0.8166666666666667,0.6333333333333333
169,sr2txzbp1x3x7xu,0.8333333333333334,0.6166666666666667
170,srpavyhwawz1j4f,0.7,0.5833333333333334
171,ssbsk72ruz2tdg1,0.7833333333333333,0.5333333333333333
172,swmufx7egboodpe,0.8833333333333333,0.6166666666666667
173,t53tjn7r8ydtmtq,0.75,0.5666666666666667
174,t6cgffrl2a875wr,0.7333333333333333,0.5
175,tfzsaz8h4rua9hm,0.7166666666666667,0.48333333333333334
176,tk2emgkdo0xmkfn,0.7333333333333333,0.5333333333333333
177,u22e26jm4cy25av,0.8166666666666667,0.6333333333333333
178,u556z6wn629kwu5,0.8,0.48333333333333334
179,u5kwzdtotz39jwp,0.75,0.5666666666666667
180,uaf4fed1xj02ps4,0.7666666666666667,0.55
181,ug2w7q3f6pgxf6e,0.8,0.6666666666666666
182,unp160hltucmgwb,0.7333333333333333,0.6
183,v1q2why8n7sann7,0.8666666666666667,0.6166666666666667
184,v2rgepeoz23lhyb,0.7833333333333333,0.55
185,vbk9loz7eg3eo6s,0.7166666666666667,0.5166666666666667
186,vgcflf6f0nxe8tt,0.9666666666666667,0.8833333333333333
187,vnoz56ecccya7hk,0.75,0.5666666666666667
188,w6pajch9t65cj07,0.36666666666666664,0.31666666666666665
189,wey1upork0e0epr,0.7833333333333333,0.5833333333333334
190,wf4mq2s0e98ce4z,0.8166666666666667,0.6166666666666667
191,ws44qtt9xen2xsl,0.8166666666666667,0.5833333333333334
192,wwv18727elhq22u,0.8333333333333334,0.6
193,wx6wj654e49s6of,0.8909090909090909,0.7
194,x0nfe7hwu2yt5az,0.7833333333333333,0.5333333333333333
195,x0ztn8ulz4wsjnf,0.75,0.5333333333333333
196,x31a150jh7x0sc3,0.7,0.55
197,x6cu75oy88jq32r,0.8,0.55
198,x8law3bwbr5x4um,0.7333333333333333,0.48333333333333334
199,xazdw7q49mfrccu,0.7166666666666667,0.5333333333333333
200,y71fvh7ol8vycb2,0.7666666666666667,0.5833333333333334
201,yh55038bo4e9rhm,0.7333333333333333,0.5166666666666667
202,z7z5ejt5cs81lbt,0.7,0.5333333333333333
203,zdzld8scpb2ydmo,0.75,0.5833333333333334
204,zg0zoa2qo7tsvnk,0.6833333333333333,0.4666666666666667
205,zqr31esvemh6qkz,0.7666666666666667,0.5833333333333334
206,zw8s7wsog20kbc4,0.18333333333333332,0.1
207,zwxx44lymw33vjg,0.7666666666666667,0.48333333333333334
